"aTP ( 33 )"
Imie;Nazwisko;"Kod pocztowy miejsca zamieszkania";"Miejsce zamieszkania";Ulica;Nr.Domu;"Kod pocztowy miejsca zameldownia";"Nr.Domu zameldowania";"Miejsce zamledowania";"Ulica Zameldownia";"Ocena Niemiecki";"Ocena Angielski";Profil
Uczeń4;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń5;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń6;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń7;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń8;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń9;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń10;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń12;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń13;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń14;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń15;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń16;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń17;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń18;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
"Grupa II ( 16 )"
Uczeń11;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Informatyk"
Uczeń19;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń20;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń21;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń22;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Informatyk"
Uczeń23;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń24;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń25;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń26;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń27;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń28;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń29;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń30;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń31;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń32;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Informatyk"
Uczeń33;Informatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Informatyk"
"aTG ( 33 )"
Imie;Nazwisko;"Kod pocztowy miejsca zamieszkania";"Miejsce zamieszkania";Ulica;Nr.Domu;"Kod pocztowy miejsca zameldownia";"Nr.Domu zameldowania";"Miejsce zamledowania";"Ulica Zameldownia";"Ocena Niemiecki";"Ocena Angielski";Profil
"Grupa I ( 17 )"
Uczeń1;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń2;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń3;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń4;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń5;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń6;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń7;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń8;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń9;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń10;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń12;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń13;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń14;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń15;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń16;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń17;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń18;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
"Grupa II ( 16 )"
Uczeń11;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Grafiki"
Uczeń19;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń20;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń21;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń22;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Grafiki"
Uczeń23;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń24;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń25;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń26;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń27;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń28;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń29;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń30;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń31;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń32;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Grafiki"
Uczeń33;Grafiki;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Grafiki"
"aTE ( 34 )"
Imie;Nazwisko;"Kod pocztowy miejsca zamieszkania";"Miejsce zamieszkania";Ulica;Nr.Domu;"Kod pocztowy miejsca zameldownia";"Nr.Domu zameldowania";"Miejsce zamledowania";"Ulica Zameldownia";"Ocena Niemiecki";"Ocena Angielski";Profil
"Grupa I ( 17 )"
Uczeń1;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń2;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń3;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń4;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń5;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń6;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń7;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń8;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń9;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń10;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń12;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń13;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń14;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń15;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń16;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń17;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń18;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
"Grupa II ( 17 )"
Uczeń11;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Elektronik"
Uczeń19;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń20;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń21;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń22;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Elektronik"
Uczeń23;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń24;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń25;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń26;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń27;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń28;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń29;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń30;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń31;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń32;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Elektronik"
Uczeń33;Elektronik;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Elektronik"
Przykład;Pierwszy;12-122;Esi;Wodna;8;12-122;8;Esi;Wodna;5;5;"Technik Automatyk"
"aTA ( 33 )"
Imie;Nazwisko;"Kod pocztowy miejsca zamieszkania";"Miejsce zamieszkania";Ulica;Nr.Domu;"Kod pocztowy miejsca zameldownia";"Nr.Domu zameldowania";"Miejsce zamledowania";"Ulica Zameldownia";"Ocena Niemiecki";"Ocena Angielski";Profil
"Grupa I ( 17 )"
Uczeń1;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń2;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń3;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń4;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń5;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń6;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń7;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń8;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń9;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń10;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń12;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń13;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń14;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń15;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń16;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń17;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń18;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
"Grupa II ( 16 )"
Uczeń11;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Automatyk"
Uczeń19;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń20;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń21;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń22;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Automatyk"
Uczeń23;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń24;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń25;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń26;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń27;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń28;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń29;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń30;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń31;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń32;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";5;2;"Technik Automatyk"
Uczeń33;Automatyk;98-220;"Zd Wola";"Przykład. Ulica";7;98-220;7;"Zd Wola";"Przykład. Ulica";4;3;"Technik Automatyk"
